Handle,Batch,Status,Category,Note
lost-in-america,batch-002,already_fixed,apparel,"Circa description was wrong-category (apparel); production has a different, correct description"
lost-picture-show-vinegar-syndrome,batch-002,already_fixed,book,"Circa description was wrong-category (book); production has a different, correct description"
lovers-lane-arrow,batch-002,already_fixed,apparel,"Circa description was wrong-category (apparel); production has a different, correct description"
manhattan-murder-mystery,batch-002,already_fixed,apparel,"Circa description was wrong-category (apparel); production has a different, correct description"
medallion,batch-003,already_fixed,jewelry,"Circa description was wrong-category (jewelry); production has a different, correct description"
memoirs-of-a-geisha,batch-003,already_fixed,book,"Circa description was wrong-category (book); production has a different, correct description"
milk-money,batch-003,already_fixed,apparel,"Circa description was wrong-category (apparel); production has a different, correct description"
never-been-kissed,batch-002,already_fixed,apparel,"Circa description was wrong-category (apparel); production has a different, correct description"
officer-downe,batch-002,already_fixed,book,"Circa description was wrong-category (book); production has a different, correct description"
only-the-lonely,batch-002,already_fixed,apparel,"Circa description was wrong-category (apparel); production has a different, correct description"
opportunity-knocks,batch-002,already_fixed,apparel,"Circa description was wrong-category (apparel); production has a different, correct description"
perfect,batch-002,already_fixed,apparel,"Circa description was wrong-category (apparel); production has a different, correct description"
philadelphia,batch-003,already_fixed,apparel,"Circa description was wrong-category (apparel); production has a different, correct description"
power-rangers,batch-002,already_fixed,toy,"Circa description was wrong-category (toy); production has a different, correct description"
pulp-fiction,batch-003,already_fixed,book,"Circa description was wrong-category (book); production has a different, correct description"
relentless-3,batch-002,already_fixed,apparel,"Circa description was wrong-category (apparel); production has a different, correct description"
salems-lot,batch-002,already_fixed,book,"Circa description was wrong-category (book); production has a different, correct description"
say-anything,batch-003,already_fixed,board_game,"Circa description was wrong-category (board_game); production has a different, correct description"
second-sight,batch-002,already_fixed,apparel,"Circa description was wrong-category (apparel); production has a different, correct description"
shoot-em-up,batch-002,already_fixed,board_game,"Circa description was wrong-category (board_game); production has a different, correct description"
sin-city-a-dame-to-kill-for,batch-002,already_fixed,book,"Circa description was wrong-category (book); production has a different, correct description"
sour-grapes,batch-002,already_fixed,apparel,"Circa description was wrong-category (apparel); production has a different, correct description"
the-adventures-of-pluto-nash,batch-002,already_fixed,apparel,"Circa description was wrong-category (apparel); production has a different, correct description"
the-big-red-one,batch-002,already_fixed,apparel,"Circa description was wrong-category (apparel); production has a different, correct description"
the-dawning,batch-002,already_fixed,apparel,"Circa description was wrong-category (apparel); production has a different, correct description"
the-life-aquatic-with-steve-zissou,batch-002,already_fixed,apparel,"Circa description was wrong-category (apparel); production has a different, correct description"
the-sea-hawk,batch-002,already_fixed,book,"Circa description was wrong-category (book); production has a different, correct description"
trial-by-jury,batch-003,already_fixed,board_game,"Circa description was wrong-category (board_game); production has a different, correct description"
triple-9,batch-002,already_fixed,apparel,"Circa description was wrong-category (apparel); production has a different, correct description"
unlikely-angel,batch-002,already_fixed,apparel,"Circa description was wrong-category (apparel); production has a different, correct description"
van-helsing,batch-003,already_fixed,apparel,"Circa description was wrong-category (apparel); production has a different, correct description"
youve-got-mail,batch-002,already_fixed,apparel,"Circa description was wrong-category (apparel); production has a different, correct description"
