call_number,title,description,tags,image_path
99096570,Alive,"Tenshu is imprisoned and sentenced to death for murdering the men who raped his girlfriend. However, he manages to survive his execution and is presented with an option: face another execution attempt or subject himself to their bizarre and dangerous experiments.","VHS, action",libib-sync/batch-0002/99096570.jpg
00177914,All About the Benjamins,"Bounty hunter Bucum Jackson teams with the small-time con artist, Reggie Wright, that he is pursuing, in an attempt to locate a missing stash of diamonds and a lottery ticket worth millions of dollars. Bucum and Reggie find themselves in a race to the finish as they embark on an unlikely partnership that should -- when all is said and done -- prove beneficial to them both.","VHS, action",libib-sync/batch-0002/00177914.jpg
99162106,Angel of Fury,A security specialist is hired to deliver a valuable computer. She is joined by her former lover who has plans of his own for the computer.,"VHS, action",libib-sync/batch-0002/99162106.jpg
78840314,Animal Factory,"Suburbanite Ron is spoiled, young and not overly worried about the marijuana charges leveled against him. But, after being made out to be a drug dealer, he faces a five-year jail sentence in San Quentin State Prison. Physically frail and unaccustomed to his rough surroundings, Ron is primed to fall victim to sexual predators and bullying guards – that is, until he's befriended by Earl, a veteran inmate who finds meaning in protecting the vulnerable new kid.","VHS, drama",libib-sync/batch-0002/78840314.jpg
78742010,Another Woman,"Marion is a woman who has learned to shield herself from her emotions. She rents an apartment to work undisturbed on her new book, but by some acoustic anomaly she can hear all that is said in the next apartment in which a psychiatrist holds his office. When she hears a young woman tell that she finds it harder and harder to bear her life, Marion starts to reflect on her own life. After a series of events she comes to understand how her unemotional attitude towards the people around her affected them and herself.","VHS, drama",libib-sync/batch-0002/78742010.jpg
94676474,Assassin's Creed,"Through a technology that unlocks the genetic memories of his ancestor in 15th century Spain, Callum Lynch discovers he is a descendant of an ancient line of Assassins and amasses lethal skills to take on the oppressive Templar Order.","Blu-Ray, action",libib-sync/batch-0002/94676474.jpg
81510138,Assassins,"Assassin Robert Rath arrives at a funeral to kill a prominent mobster, only to witness a rival hired gun complete the job for him -- with grisly results. Horrified by the murder of innocent bystanders, Rath decides to take one last job and then return to civilian life. But finding his way out of the world of contract killing grows ever more dangerous as Rath falls for his female target and becomes a marked man himself.","VHS, action",libib-sync/batch-0002/81510138.jpg
61003514,Babes in Toyland,"With just days to go before presents are scheduled for Christmas delivery, Toyland is buzzing with activity. However, curmudgeonly creditor Barnaby Crookedman is hatching a devious scheme to destroy Toyland – meaning no presents for the world's children! Siblings Jack and Jill, alongside toy factory workers Tom and Mary, rush into action to stop the villain, receiving some assistance from the likes of Humpty Dumpty and even Santa Claus himself.","VHS, kids-family",libib-sync/batch-0002/61003514.jpg
59758330,Baby's Day Out,"Baby Bink couldn't ask for more: he has adoring (if somewhat sickly-sweet) parents, lives in a huge mansion, and he's just about to appear in the social pages of the paper. Unfortunately, not everyone in the world is as nice as Baby Bink's parents—especially the three enterprising kidnappers who pretend to be photographers from the newspaper. Successfully kidnapping Baby Bink, they have a harder time keeping hold of the rascal, who not only keeps one step ahead of them, but seems to be more than a little bit smarter than the three bumbling criminals.","VHS, kids-family",libib-sync/batch-0002/59758330.jpg
64852730,Barbie & Her Sisters in The Great Puppy Adventure,"Barbie and her sisters, Skipper, Stacie and Chelsea, and their adorable new puppy friends find unexpected mystery and adventure when they return to their hometown of Willows. While going through mementos in Grandma's attic, the sisters discover an old map, believed to lead to a long-lost treasure buried somewhere in the town. With their puppy pals in tow, the four girls go on an exciting treasure hunt, along the way discovering that the greatest treasure of all is the love and laughter they share as sisters!","Blu-Ray, kids-family",libib-sync/batch-0002/64852730.jpg
78807546,Batteries not Included,"In a soon to be demolished block of apartments, the residents resist the criminal methods used to force them to leave so a greedy tycoon can build his new skyscraper. When tiny mechanical aliens land for a recharge, they decide to stay and help out.","VHS, kids-family",libib-sync/batch-0002/78807546.jpg
79036922,Beauty and the Beast,"Follow the adventures of Belle, a bright young woman who finds herself in the castle of a prince who's been turned into a mysterious beast. With the help of the castle's enchanted staff, Belle soon learns the most important lesson of all -- that true beauty comes from within.","VHS, fantasy",libib-sync/batch-0002/79036922.jpg
79200762,Being There,"A simple-minded gardener named Chance has spent all his life in the Washington D.C. house of an old man. When the man dies, Chance is put out on the street with no knowledge of the world except what he has learned from television.","VHS, comedy",libib-sync/batch-0002/79200762.jpg
61232890,Black Beauty,"Born free in the American West, Black Beauty is a horse rounded up and brought to Birtwick Stables, where she meets spirited teenager Jo Green. The two forge a bond that carries Beauty through the different chapters, challenges and adventures.","VHS, kids-family",libib-sync/batch-0002/61232890.jpg
00538362,Blind Horizon,"Left for dead in the remote Southwest, Frank is found clinging to life and in a state of amnesia. As he recovers, ominous memories begin to flash back...","VHS, action",libib-sync/batch-0002/00538362.jpg
78774778,Blood Alley,"An American Merchant Marine captain, rescued from a Chinese Communist jail by local villagers, is ""shanghaied"" into transporting the entire village to Hong Kong on an ancient paddle steamer.","VHS, action",libib-sync/batch-0002/78774778.jpg
80592634,Blood Work,"Still recovering from a heart transplant, a retired FBI profiler returns to service when his own blood analysis offers clues to the identity of a serial killer.","VHS, thriller",libib-sync/batch-0002/80592634.jpg
59922170,Born to be Wild,Rick Heller is a juvenile delinquent who keeps getting himself into trouble. To keep him out of trouble his mother puts him to work cleaning the cage of a gorilla named Katie which she is teaching to communicate through the use of sign language. When the owner of the gorilla takes her back to become a flea market freak Rick takes it upon himself to break Katie out and take her on an adventurous journey to get her out of the country.,"VHS, kids-family",libib-sync/batch-0002/59922170.jpg
78610938,Bowfinger,"On the verge of bankruptcy and desperate for his big break, aspiring filmmaker Bobby Bowfinger concocts a crazy plan to make his ultimate dream movie. Rallying a ragtag team that includes a starry-eyed ingenue, a has-been diva and a film studio gofer, he sets out to shoot a blockbuster featuring the biggest star in Hollywood, Kit Ramsey -- only without letting Ramsey know he's in the picture.","VHS, comedy",libib-sync/batch-0002/78610938.jpg
92290810,Bull Durham,"Veteran catcher Crash Davis is brought to the minor league Durham Bulls to help their up and coming pitching prospect, ""Nuke"" Laloosh. Their relationship gets off to a rocky start and is further complicated when baseball groupie Annie Savoy sets her sights on the two men.","VHS, romantic-comedy",libib-sync/batch-0002/92290810.jpg
28914170,Chasing Mavericks,Surfer Jay Moriarity sets out to ride the Northern California break known as Mavericks.,"Blu-Ray, drama",libib-sync/batch-0002/28914170.jpg
26856698,Chitty Chitty Bang Bang,"A hapless inventor finally finds success with a flying car, which a dictator from a foreign government sets out to take for himself.","VHS, kids-family",libib-sync/batch-0002/26856698.jpg
17820666,Christmas Double Feature: Christmas Child / A Time to Remember,"This DVD pairs two holiday television movies: Christmas Child, starring William Moses, and A Time to Remember.","DVD, holiday",libib-sync/batch-0002/17820666.jpg
26463482,Cocoon the Return,"The reinvigorated elderly group that left Earth comes back to visit their relatives. Will they all decide to go back to the planet where no one grows old, or will they be tempted to remain on Earth?","VHS, sci-fi",libib-sync/batch-0002/26463482.jpg
80625402,Collateral Damage,Firefighter Gordon Brewer is plunged into the complex and dangerous world of international terrorism after he loses his wife and child in a bombing credited to Claudio 'The Wolf' Perrini.,"VHS, action",libib-sync/batch-0002/80625402.jpg
78578170,Congo,"Eight people embark on an expedition into the Congo, a mysterious expanse of unexplored Africa, where human greed and the laws of nature have gone berserk.","VHS, action",libib-sync/batch-0002/78578170.jpg
78479866,Contact,"A radio astronomer receives the first extraterrestrial radio signal ever picked up on Earth. As the world powers scramble to decipher the message and decide upon a course of action, she must make some difficult decisions between her beliefs, the truth, and reality.","VHS, sci-fi",libib-sync/batch-0002/78479866.jpg
80920314,Crocodile Dundee,"When a New York reporter plucks crocodile hunter Mick Dundee from the Australian Outback for a visit to the Big Apple, it's a clash of cultures and a recipe for good-natured comedy as naïve Dundee negotiates the concrete jungle. He proves that his instincts are quite useful in the city and adeptly handles everything from wily muggers to high-society snoots without breaking a sweat.","VHS, comedy",libib-sync/batch-0002/80920314.jpg
98605050,Curiosity Kills,An apartment block janitor stumbles upon a deadly secret after one of the residents seemingly commits suicide and a mysterious new tenant arrives.,"VHS, action",libib-sync/batch-0002/98605050.jpg
35046394,Curse of the Starving Class,"Curse of the Starving Class is a play by Sam Shepard, considered the first of a series on family tragedies. Drama about a dirt-poor 1950's-era farm family. Dad's a foul talking drunk and Mom is desperately trying to save what's left of their family life.","VHS, drama",libib-sync/batch-0002/35046394.jpg
41665786,Dan in Real Life,"Advice columnist Dan Burns is an expert on relationships, but somehow struggles to succeed as a brother, a son and a single parent to three precocious daughters. Things get even more complicated when Dan finds out that the woman he falls in love with is actually his brother's new girlfriend.","DVD, drama",libib-sync/batch-0002/41665786.jpg
26529018,Das Boot: Directors Cut,"A German submarine hunts allied ships during the Second World War, but it soon becomes the hunted. The crew tries to survive below the surface, while stretching both the boat and themselves to their limits.","VHS, drama",libib-sync/batch-0002/26529018.jpg
78250490,Death Wish 4 The Crackdown,"After the death of his girlfriend's daughter from a drug overdose, Paul Kersey takes on the local drug cartel.","VHS, action",libib-sync/batch-0002/78250490.jpg
91963130,Dolores Claiborn,"Dolores Claiborne was accused of killing her abusive husband twenty years ago, but the court's findings were inconclusive and she was allowed to walk free. Now she has been accused of killing her employer, Vera Donovan, and this time there is a witness who can place her at the scene of the crime. Things look bad for Dolores when her daughter Selena, a successful Manhattan magazine writer, returns to cover the story.","VHS, drama",libib-sync/batch-0002/91963130.jpg
92126970,Doomsday,"The lethal Reaper virus spreads throughout Britain—infecting millions and killing hundreds of thousands. Authorities brutally and successfully quarantine the country but, three decades later, the virus resurfaces in a major city. An elite group of specialists is urgently dispatched into the still-quarantined country to retrieve a cure by any means necessary. Shut off from the rest of the world, the unit must battle through a landscape that has become a waking nightmare.","VHS, action",libib-sync/batch-0002/92126970.jpg
81870586,Double Edge,"In this fast paced action-thriller, daytime's top star Susan Lucci plays two roles: both a crack FBI agent and the elusive killer-for-hire who she stalks in a deadly game of hide-and-seek. Each driven by an obsession to succeed, the perfectly matched competitors hurtle full-speed through a risky game od double-cross to an unexpected and deadly finish line.","VHS, action",libib-sync/batch-0002/81870586.jpg
91864826,Dragnet,"LAPD Sgt. Joe Friday -- the equally straight-laced nephew of the famous police sergeant of the same name -- is paired up with a young, freewheeling detective named Pep Streebeck. After investigating some strange robberies at the local zoo and the theft of a stockpile of pornographic magazines, they uncover cult activity in the heart of the city and are hot on the case to figure out who's behind it all.","VHS, comedy",libib-sync/batch-0002/91864826.jpg
59987706,Dunston Checks In,"Hotel manager Robert Grant is forced by his boss to postpone his family vacation when a hotel critic checks in. Trouble is, the critic is really a villainous jewel thief with an orangutan assistant named Dunston. When Dunston gets loose and tries to escape a life of crime -- aided by Robert's sons -- havoc, hijinks and lots of laughs abound!","VHS, kids-family",libib-sync/batch-0002/59987706.jpg
35111930,Edge of Seventeen,"1984, Sandusky, Ohio. A naive 17-year-old navigates heartbreak and self-expression as he explores his sexuality.","VHS, drama",libib-sync/batch-0002/35111930.jpg
35013626,Edie & Pen,"In this comedy, two women head for Reno to get simultaneous quicky divorces and end up becoming friends. Edie was married years ago, but her husband abandoned her two weeks after the wedding. Pen spent nine years married to an ice-cold businessman who neglected her.","VHS, romantic-comedy",libib-sync/batch-0002/35013626.jpg
92159738,Extreme Prejudice,"Lean, mean Texas Ranger Jack Benteen locks horns with a former friend, Cash Bailey, now a ruthless drug kingpin. Though they're on opposite sides of the law, they share a love interest in the sensual Sarita. When a crew of rogue soldiers descends upon the border town for an off-the-books mission, all roads lead to a bloody, to-the-death showdown, as loyalties shift and the lines between good and evil are blurred.","VHS, action",libib-sync/batch-0002/92159738.jpg
92421882,Falling Fire,"In the not so distant future mankind has squandered their resources. A team of specialists is sent to the nearby asteroid field to retrieve an asteroid that will serve to replenish some of our natural resources. However, unbeknownst to the team, there is a killer on board determined to take control of the asteroid and destroy all mankind.","VHS, action",libib-sync/batch-0002/92421882.jpg
13598202,Fatal Attraction,A married man's one-night stand comes back to haunt him when that lover begins to stalk him and his family.,"VHS, documentary",libib-sync/batch-0002/13598202.jpg
99555322,Final Notice,"Detective Harry Stoner has only a few clues. A year ago someone mutilated the nude photos found in the city library's art books. And shortly after, a young murder victim was found carved up in the same grisly way. Now, more mangled art books have suddenly turned up. And it's Harry's job to make sure another corpse doesn't.","VHS, thriller",libib-sync/batch-0002/99555322.jpg
191-BLRFND-002A,Finding Dory,"Experience the heartwarming underwater journey of a forgetful blue tang as she searches for her long-lost parents across the ocean. This comprehensive home media set includes high-definition discs and a digital code, allowing you to enjoy the stunning animation and beloved characters on any device. It is a perfect addition to any family collection, offering hours of vibrant entertainment and meaningful lessons about friendship and perseverance.","Blu-Ray, kids-family",libib-sync/batch-0002/191-BLRFND-002A.jpg
92618490,Fire Down Below,"When an EPA representative is murdered in a small Appalachian community, EPA undercover agent Jack Taggart is sent in—posing as a handyman working with a Christian relief agency—to determine what happened.","VHS, action",libib-sync/batch-0002/92618490.jpg
59135738,First Daughter,"A female Secret Service agent goes against protocol to save the U.S. president from an assassination attempt. She is reassigned to protect the president's daughter, which she considers a demotion. When the first daughter is kidnapped during a hiking trip, the agent and a river guide go to rescue her.","VHS, kids-family",libib-sync/batch-0002/59135738.jpg
59889402,First Kid,"Some say that to be the leader of a country is one of the loneliest jobs in the world. But being the child of a world leader can be doubly so. Constantly surrounded by security officers, restricted in movements and having almost every waking moment carefully monitored makes normalcy an impossibility. No one knows this better than young Luke Davenport, the son of U.S. President Davenport. He vents his loneliness, frustration and feelings of isolation from family and friends by being a brat to his private Secret Service agent. When the agent snaps from the strain in front of the First Lady, a new agent is assigned to Luke. He turns out to be the enormous Sam Simms, a bit of a rogue who managed to rise through the ranks by sheer determination rather than strict adherence to Secret-Service protocol. At first, Luke tries all his old tricks upon Sam. But instead of getting angry, Sam seems to actually understand.","VHS, kids-family",libib-sync/batch-0002/59889402.jpg
78217722,For a Few Dollars More,"Two bounty hunters both pursue the brutal and sadistic bandit, El Indio, who has a large bounty on his head.","VHS, action",libib-sync/batch-0002/78217722.jpg
00341754,Hang 'Em High,"Marshall Jed Cooper survives a hanging, vowing revenge on the lynch mob that left him dangling. To carry out his oath for vengeance, he returns to his former job as a lawman. Before long, he's caught up with the nine men on his hit list and starts dispensing his own brand of Wild West justice.","VHS, action",libib-sync/batch-0002/00341754.jpg
48124154,Happy Feet,"Into the world of the Emperor Penguins, who find their soul mates through song, a penguin is born who cannot sing. But he can tap dance something fierce!","Blu-Ray, kids-family",libib-sync/batch-0002/48124154.jpg
81608442,Hard Justice,When A.T.F. agent Nick Adams goes undercover in a prison to unravel the mystery of a fellow agents death there. Warden Pike and his pet goons are involved in all kinds of corrupt activities; dope dealing and gun smuggling to name a few.,"VHS, action",libib-sync/batch-0002/81608442.jpg
26889466,Harry Potter and the Sorcerer's Stone,"Harry Potter has lived under the stairs at his aunt and uncle's house his whole life. But on his 11th birthday, he learns he's a powerful wizard—with a place waiting for him at the Hogwarts School of Witchcraft and Wizardry. As he learns to harness his newfound powers with the help of the school's kindly headmaster, Harry uncovers the truth about his parents' deaths—and about the villain who's to blame.","VHS, kids-family",libib-sync/batch-0002/26889466.jpg
79871738,Hollywood Homicide,"Joe Gavilan and his new partner K. C. Calden, are detectives on the beat in Tinseltown. Neither one of them really wants to be a cop, Gavilan moonlights as a real estate broker, and Calden is an aspiring actor moonlighting as a yoga instructor. When the two are assigned a big case they must work out whether they want to solve the case or follow their hearts.","VHS, comedy",libib-sync/batch-0002/79871738.jpg
92061434,Hoodlum,"In 1934, the second most lucrative business in New York City was running 'the numbers'. When Madam Queen—the powerful woman who runs the scam in Harlem—is arrested, Ellsworth 'Bumpy' Johnson takes over the business and must resist an invasion from a merciless mobster.","VHS, drama",libib-sync/batch-0002/92061434.jpg
48189690,"I, Robot","In 2035, where robots are commonplace and abide by the three laws of robotics, a technophobic cop investigates an apparent suicide. Suspecting that a robot may be responsible for the death, his investigation leads him to believe that humanity may be in danger.","Blu-Ray, sci-fi",libib-sync/batch-0002/48189690.jpg
29831674,Ice Age Continental Drift,"Manny, Diego, and Sid embark upon another adventure after their continent is set adrift. Using an iceberg as a ship, they encounter sea creatures and battle pirates as they explore a new world.","Blu-Ray, kids-family",libib-sync/batch-0002/29831674.jpg
00046842,Ice Grill,"One of New York's biggest crime heads has offered to let the Ice Grill Bandits in on the biggest heist of the century, but the bandits decide to double cross the mob and make their own deal. When they try unload the ice, they soon discover all the dealers are working for the Mob. Now, their lives are an all out battle to escape the mob's reach.","VHS, action",libib-sync/batch-0002/00046842.jpg
65147642,Immortals,"Theseus is a mortal man chosen by Zeus to lead the fight against the ruthless King Hyperion, who is on a rampage across Greece to obtain a weapon that can destroy humanity.","Blu-Ray, action",libib-sync/batch-0002/65147642.jpg
41567482,In Time,"In the not-too-distant future, the aging gene has been switched off. To avoid overpopulation, time has become the currency and the way people pay for luxuries and necessities. The rich can live forever, while the rest struggle to negotiate for their immortality. A poor young man who suddenly comes into a fortune of time finds himself on the run from a corrupt police force known as the ""time keepers"".","DVD, sci-fi",libib-sync/batch-0002/41567482.jpg
64525050,Independence Day Resurgence,"We always knew they were coming back. Using recovered alien technology, the nations of Earth have collaborated on an immense defense program to protect the planet. But nothing can prepare us for the aliens’ advanced and unprecedented force. Only the ingenuity of a few brave men and women can bring our world back from the brink of extinction.","Blu-Ray, sci-fi",libib-sync/batch-0002/64525050.jpg
80101114,Instant Justice,"Scott is a US Marine who travels Spain to see his sister Kim, after many years of separation. But she is dead, and there is nothing else to arrive him. Alone in the Madrid's streets, Scott will search for the killers, will try to reveal the reason of the murder of his dear sister, and for revenge for himself.","VHS, action",libib-sync/batch-0002/80101114.jpg
59856634,Invisible Dad,"Doug Baily's father is weird, but a strange machine in the garage now makes him invisible too. It's a roller coaster ride of fun and hijinks as Doug tries to turn his invisible dad back to normal again.","VHS, kids-family",libib-sync/batch-0002/59856634.jpg
60184314,Invisible Mom,"A family's life is thrown into comical chaos after mom accidentally drinks her inventor husband's latest concoction, an invisibility potion.","VHS, kids-family",libib-sync/batch-0002/60184314.jpg
60118778,Jack Frost,"A father who can't keep his promises dies in a car accident. One year later, he returns as a snowman, who has one final chance to put things right with his son before he is gone forever.","VHS, kids-family",libib-sync/batch-0002/60118778.jpg
61069050,Jingle All the Way,"Howard Langston, a salesman for a mattress company, is constantly kept busy at his job, disappointing his son. After he misses his son's karate exposition, Howard vows to make it up to him by buying an action figure of his son's favorite television hero for Christmas. Unfortunately for Howard, it is Christmas Eve, and every store is sold out of Turbo Man. Now, Howard must travel all over town and compete with everybody else to find a Turbo Man action figure.","VHS, kids-family",libib-sync/batch-0002/61069050.jpg
92651258,Delirious,"Delirious is a 1991 American romantic fantasy comedy film directed by Tom Mankiewicz, written by Lawrence J. Cohen and Fred Freeman, and starring John Candy, Mariel Hemingway, Emma Samms, Raymond Burr (in his last feature film role), David Rasche, Dylan Baker, and Charles Rocket. It tells the story of the lead soap opera writer who hits his head, finds himself in the setting of the soap opera he works on, and anything he types on his typewriter happens. The film used Prince's 1982 song as its title theme.","VHS, comedy",libib-sync/batch-0002/92651258.jpg
98801658,Journey to Spirit Island,"A greedy Indian persuades his tribe to sell the lonesome 'Spirit Island' for a congress center. Instead of transferring the historical graves on it like he tells his tribe, he plans to wipe them out. By accident a group of two Indian kids and two friends from Chicago on vacation are flown to the island and get in his way.","VHS, kids-family",libib-sync/batch-0002/98801658.jpg
78414330,Junior,"A research scientist becomes the world's first pregnant man in order to test a drug he and a colleague have designed for expectant women. To carry out the trial, he has an embryo implant, believing that he will only carry the baby for three months – hardly expecting to face the prospect of giving birth.","VHS, comedy",libib-sync/batch-0002/78414330.jpg
28488186,Knight and Day,"A fugitive couple goes on a glamorous and sometimes deadly adventure where nothing and no one – even themselves – are what they seem. Amid shifting alliances and unexpected betrayals, they race across the globe, with their survival ultimately hinging on the battle of truth vs. trust.","Blu-Ray, action",libib-sync/batch-0002/28488186.jpg
97884154,Kounterfeit,"Flush with $3 million in counterfeit bills, a pair of small-time criminals hope to make the big time by trading it in for a cool million in authentic cash. However, when the trade goes awry, three men end up murdered- one a cop with a vengeful sister--and the hapless buddies find themselves caught between the police and mob hit men after the money.","VHS, action",libib-sync/batch-0002/97884154.jpg
65409786,Lego Star Wars: The Padawan Menace,"Master Yoda must go retrieve secret battle plans. However, things become a little more complicated when a class of younglings join the mission.","Blu-Ray, thriller",libib-sync/batch-0002/65409786.jpg
26594554,Les Miserables in Concert,Proshot of the Chelmsford concert of Les Misérables on 24th August 1997.,"VHS, musical",libib-sync/batch-0002/26594554.jpg
00734970,Lethal Weapon 3,Riggs and Murtaugh pursue a former officer who uses his knowledge of police procedure and policies to steal and sell confiscated guns and ammunition to local street gangs.,"VHS, action",libib-sync/batch-0002/00734970.jpg
79838970,Liar's Poker,"Friends betray one another over investments and women, which leads to deadly confrontations.","VHS, thriller",libib-sync/batch-0002/79838970.jpg
79299066,Little Big Man,"Jack Crabb, looking back from extreme old age, tells of his life being raised by Indians and fighting with General Custer.","VHS, drama",libib-sync/batch-0002/79299066.jpg
94774778,Live Free or Die Hard,"John McClane is back and badder than ever, and this time he calls on the services of a young hacker in his bid to stop a ring of Internet terrorists intent on taking control of America's computer infrastructure.","Blu-Ray, action",libib-sync/batch-0002/94774778.jpg
99883002,Live Wire Human Timebomb,A computer chip turns an FBI agent into a lethal weapon.,"VHS, action",libib-sync/batch-0002/99883002.jpg
28881402,Luke and Lucy The Texas Rangers,"Dark City, Texas. A terrible bandit named Jim Parasite runs an illegal whiskey distillery. Parasite wants to become the biggest and has therefore developed a magical powder that can shrink anyone. The local Texas Rangers, led by the brave Ranger Tom, try to stop Parasijt, but are lured into a trap. Tom and his Rangers are shrunk and put into whiskey bottles. In an escape attempt, the bottle containing Ranger Tom ends up in a crate that is shipped to Belgium and thus ends up in the hands of Lambik, who is given a crate of whiskey by Theofiel Boomerang. Suske, Wiske, Aunt Sidonia, Lambik, Jerom, and Professor Barabas hear the story and decide to help Ranger Tom. Barabas will try to enlarge Ranger Tom again, and the rest travel to Dark City to stop Jim Parasijt.","Blu-Ray, kids-family",libib-sync/batch-0002/28881402.jpg
59201274,Magic in the Water,"Radio psychologist Jack Black takes his children Joshua and Ashley on a 'vacation' to a lake in British Columbia. While he grinds away at work the children discover that the famous local lake monster ""Orky"" may not be just a gimmick to attract tourists after all. In fact, Orky may enable them to get closer to their workaholic dad, and help stop local polluters who are dumping toxic waste.","VHS, kids-family",libib-sync/batch-0002/59201274.jpg
78119418,Magnum Force,"""Dirty"" Harry Callahan is a San Francisco Police Inspector on the trail of a group of rogue cops who have taken justice into their own hands. When shady characters are murdered one after another in grisly fashion, only Dirty Harry can stop them.","VHS, action",libib-sync/batch-0002/78119418.jpg
59168506,Mail to the Chief,"A humorous and inspiring adventure about an ordinary middle school student who strikes up an online friendship with someone bearing the screen name Average Joe, only to discover that he's been corresponding with and giving political advice to the President of the United States.","VHS, kids-family",libib-sync/batch-0002/59168506.jpg
48058618,Marketa Lazarova,"Mikolás and his brother Adam end up with a young German hostage of noble blood during a robbery. While their clan prepares for the wrath of the German king, Mikolás is sent to pressure his neighbor Lazar into a defense pact. Persuasion fails and he abducts Lazar's daughter Marketa on the eve of her initiation as a nun in an act of vengeance.","Blu-Ray, foreign",libib-sync/batch-0002/48058618.jpg
49336570,Marley & Me,"A newly married couple, in the process of starting a family, learn many of life's important lessons from their trouble-loving retriever, Marley. Packed with plenty of laughs to lighten the load, the film explores the highs and lows of marriage, maturity and confronting one's own mortality, as seen through the lens of family life with a dog.","Blu-Ray, kids-family",libib-sync/batch-0002/49336570.jpg
26725626,Mary Kate & Ashley's School Dance Party,"Mary-Kate, Ashley and their friends are all excited about the big school dance. Unfortunately, Mary-Kate doesn't have a date yet, and Ashley is nervous about her decision to run for Queen of the Dance. Join the girls as they put on their best outfits and get ready to party because you're invited to dance the night away with Mary-Kate and Ashley.","VHS, kids-family",libib-sync/batch-0002/26725626.jpg
48255226,Mary Poppins,"In turn of the century London, a magical nanny employs music and adventure to help two neglected children become closer to their father.","Blu-Ray, kids-family",libib-sync/batch-0002/48255226.jpg
