Reason,Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Country (product.metafields.custom.country),Decade (product.metafields.custom.decade),Director (product.metafields.custom.director),Format (product.metafields.custom.format),Genres (product.metafields.custom.genres),Media condition (product.metafields.custom.media_condition),Runtime (min) (product.metafields.custom.runtime),Staff pick note (product.metafields.custom.staff_pick_note),Year (product.metafields.custom.year),Rental Availability (product.metafields.scf.avf),Color (product.metafields.shopify.color-pattern),Genre (product.metafields.shopify.genre),Language version (product.metafields.shopify.language-version),Media content type (product.metafields.shopify.media-content-type),MPAA rating (product.metafields.shopify.mpaa-rating),Neckline (product.metafields.shopify.neckline),Size (product.metafields.shopify.size),Sleeve length type (product.metafields.shopify.sleeve-length-type),Target audience (product.metafields.shopify.target-audience),Top length type (product.metafields.shopify.top-length-type),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
no media format (Vendor '4K UHD/BLU-RAY' is not VHS/DVD/Blu-Ray/4K/Laserdisc/Betamax),frankenstein-4k-uhd-blu-ray-floor-sale-fantasy,Frankenstein,,4K UHD/BLU-RAY,,,"Fantasy, Floor Sale",true,Genre,Fantasy,,,,,,,,,0.0,shopify,deny,manual,59.95,,true,true,,,,,26164474,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,active
no media format (Vendor '4K UHD' is not VHS/DVD/Blu-Ray/4K/Laserdisc/Betamax),wild-at-heart-4k-uhd-floor-sale-drama,Wild at Heart,,4K UHD,,,"Drama, Floor Sale",true,Genre,Drama,,,,,,,,,0.0,shopify,deny,manual,49.95,,true,true,,,,,26066170,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,active
no media format (Vendor '4K UHD/BLU-RAY' is not VHS/DVD/Blu-Ray/4K/Laserdisc/Betamax),harold-and-maude-4k-uhd-blu-ray-floor-sale-romantic-comedy,Harold and Maude,,4K UHD/BLU-RAY,,,"Floor Sale, Romantic Comedy",true,Genre,Romantic Comedy,,,,,,,,,0.0,shopify,deny,manual,49.95,,true,true,,,,,26000634,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,active
no media format (Vendor '4K UHD/BLU-RAY' is not VHS/DVD/Blu-Ray/4K/Laserdisc/Betamax),marie-antoinette-4k-uhd-blu-ray-floor-sale-drama,Marie Antoinette,,4K UHD/BLU-RAY,,,"Drama, Floor Sale",true,Genre,Drama,,,,,,,,,0.0,shopify,deny,manual,49.95,,true,true,,,,,25935098,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,active
no media format (Vendor '4K UHD/BLU-RAY' is not VHS/DVD/Blu-Ray/4K/Laserdisc/Betamax),kpop-demon-hunters-4k-uhd-blu-ray-floor-sale-kids-family,KPop Demon Hunters,,4K UHD/BLU-RAY,,,"Floor Sale, Kids & Family",true,Genre,Kids & Family,,,,,,,,,0.0,shopify,deny,manual,49.95,,true,true,,,,,25836794,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,active
no Rental or Floor Sale tag — cannot tell which this is,little-movie-club-1-year,Little Movie Club -- 1 Year,,Supercycle,,Supercycle Plan,Supercycle product,true,Title,Default Title,,,,,,,,,0.0,,deny,manual,0.00,,false,true,,,,,22436858,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,active
product has 4 variants,every-night-is-movie-night-shirt,Every Night is Movie Night Shirt,"<p>Every night can be movie night, if you just believe. </p>",Little Movie Store,Apparel & Accessories > Clothing > Clothing Tops > T-Shirts,,online-store,true,Size,s,product.metafields.shopify.size,,,,,,,,0.0,shopify,deny,manual,30.00,,true,true,,,,,44665850,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/Screenshot2026-09-02at12.22.11PM.png?v=1788366145,1,,false,,,,,,,,,,,,,beige; white,,,,,crew,s; m; l; xl,short,,medium,,,,,,lb,,,active
product has 4 variants,every-night-is-movie-night-shirt,,,,,,,,,m,,,,,,,,,0.0,shopify,deny,manual,30.00,,true,true,,,,,44698618,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/every_night_can_be.png?v=1788366166,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,
product has 4 variants,every-night-is-movie-night-shirt,,,,,,,,,l,,,,,,,,,0.0,shopify,deny,manual,30.00,,true,true,,,,,44731386,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/EVERY.png?v=1788366166,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,
product has 4 variants,every-night-is-movie-night-shirt,,,,,,,,,xl,,,,,,,,,0.0,shopify,deny,manual,30.00,,true,true,,,,,44764154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,
no Rental or Floor Sale tag — cannot tell which this is,bumper-sticker-you-wouldnt-steal-a-4k,Bumper Sticker: You Wouldn't Steal a 4K,<p>this is a description for the bumper sticker product</p>,Little Movie Store,"Vehicles & Parts > Vehicle Parts & Accessories > Vehicle Maintenance, Care & Decor > Vehicle Decor > Bumper Stickers",,online-store,true,Title,Default Title,,,,,,,,,0.0,shopify,deny,manual,4.00,,true,true,,,,,56421626,,,,false,,,,,,,,,,,,,red; green,,,,,,,,,,,,,,,lb,,,active
"no usable genre (Option1 Value 'Default Title', tags Floor Sale)",the-fly-vhs-floor-sale,The Fly,,VHS,,,Floor Sale,false,Genre,Default Title,,,,,,,,,0.0,shopify,deny,manual,10.00,,true,true,,,,,67888634,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,active
"no usable genre (Option1 Value 'Default Title', tags Floor Sale)",celebrity-vhs-floor-sale,Celebrity,,VHS,,,Floor Sale,false,Genre,Default Title,,,,,,,,,0.0,shopify,deny,manual,7.00,,true,true,,,,,67790330,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,active
"no usable genre (Option1 Value 'Default Title', tags Floor Sale)",speed-vhs-floor-sale,Speed,,VHS,,,Floor Sale,false,Genre,Default Title,,,,,,,,,0.0,shopify,deny,manual,8.00,,true,true,,,,,67560954,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,active
no Rental or Floor Sale tag — cannot tell which this is,for-the-boys-dvd-rental-musical,For the Boys,"<p>For the Boys is a 1991 American musical comedy-drama film that traces the life of Dixie Leonard, a 1940s actress/singer who teams up with Eddie Sparks, a famous performer, to entertain American troops.</p>",DVD,Media > Videos,,"Comedy, DVD, Formatted, Issue_Rental_Or_Sale, Musical",true,Genre,Musical,,,,,,,,,0.0,shopify,deny,manual,0.00,,true,true,,,,,86698490,,,,false,,,,,,,,,,,,,,musical; comedy,,,,,,,,,,,,,,lb,,,active
no Rental or Floor Sale tag — cannot tell which this is,a-knights-tale-bluray-action,A Knights Tale,"<p>William Thatcher, a knight's peasant apprentice, gets a chance at glory when the knight dies suddenly mid-tournament. Posing as a knight himself, William won't stop until he's crowned tournament champion—assuming matters of the heart don't get in the way.</p>",Blu-Ray,Media > Videos,,"Action, Blu-Ray, Formatted, Issue_Rental_Or_Sale",true,Genre,Action,,,,,,,,,0.0,shopify,deny,manual,0.00,,true,true,,,,,19653114,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/srb1XnrlDZHcdpjBKqUu4qAzxKU_ea54b964-b762-4374-827b-28072c75bce9.jpg?v=1788380429,1,A Knights Tale (2001) poster,false,,,,,,,,,,,,,,action,,,,,,,,,,,,,,lb,,,active
no Rental or Floor Sale tag — cannot tell which this is,paradise-now-bluray-drama,Paradise Now,<p>Two childhood friends are recruited for a suicide bombing in Tel Aviv.</p>,Blu-Ray,Media > Videos,,"Blu-Ray, Drama, Formatted, Issue_Rental_Or_Sale, Thriller",true,Genre,Thriller,,,,,,,,,0.0,shopify,deny,manual,0.00,,true,true,,,,,19620346,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/qWZkYa8VdcDZk8uzRB2PfhpM9IL.jpg?v=1788380428,1,Paradise Now poster,false,,,,,,,,,,,,,,thriller; drama,,,,,,,,,,,,,,lb,,,active
"no usable genre (Option1 Value 'Default Title', tags DVD, Formatted, Issue_Genre_Needed, Music, Rental)",good-charlotte-dvd-rental-music,Good Charlotte,"<p>Good Charlotte - The Video Collection :  Little Things,  The Motivation Proclamation,  Festival Song,  Lifestyle of The Rich &amp; Famous,  The Anthem,  Girls &amp; Boys,  The Young &amp; The Hopeless  Special Bonus Features:  Discography,  GC Evolution (Photo Gallery),  Trial TV,  The Click</p>",DVD,Media > Videos,,"DVD, Formatted, Issue_Genre_Needed, Music, Rental",true,Genre,Default Title,,,,,,,,,0.0,shopify,deny,manual,0.00,,true,true,,,,,72118010,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/fV7yVKp9qG67GDROrMXPde7mwNx.jpg?v=1788380179,1,Good Charlotte poster,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,active
"no usable genre (Option1 Value 'Default Title', tags DVD, Formatted, Issue_Genre_Needed, Rental, Special Interest)",gaumont-treasures-vol-2-dvd-rental-special-interest,Gaumont Treasures | Vol. 2,,DVD,Media > Videos,,"DVD, Formatted, Issue_Genre_Needed, Rental, Special Interest",true,Genre,Default Title,,,,,,,,,0.0,shopify,deny,manual,0.00,,true,true,,,,,20165370,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,active
Floor Sale with no price,the-call-dvd-floor-sale-thriller,The Call,"<p>Jordan Turner is an experienced 911 operator but when she makes an error in judgment and a call ends badly, Jordan is rattled and unsure if she can continue. But when teenager Casey Welson is abducted in the back of a man's car and calls 911, Jordan is the one called upon to use all of her experience, insights and quick thinking to help Casey escape, and not just to save her, but to make sure the man is brought to justice.</p>",DVD,Media > Videos,,"DVD, Floor Sale, Formatted, Issue_No_Price, Thriller",false,Genre,Thriller,,,,,,,,,0.0,shopify,deny,manual,0.00,,true,true,,,,,95313658,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/mG334OlDVJpD8gMfTCM2Mpp0gQH.jpg?v=1788379810,1,The Call poster,false,,,,,,,,,,,,,,thriller,,,,,,,,,,,,,,lb,,,active
"no usable genre (Option1 Value 'Default Title', tags Floor Sale, Formatted, Issue_Genre_Needed, Special Interest, VHS)",easyriders-video-magazine-15-vhs-floor-sale-special-interest,Easyriders Video Magazine #15,,VHS,Media > Videos,,"Floor Sale, Formatted, Issue_Genre_Needed, Special Interest, VHS",false,Genre,Default Title,,,,,,,,,0.0,shopify,deny,manual,21.00,,true,true,,,,,71059450,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,active
"no usable genre (Option1 Value 'Default Title', tags Floor Sale, Formatted, Issue_Genre_Needed, VHS)",the-rose-vhs-floor-sale,The Rose,<p>Rock-and-roll singer Mary Rose Foster's romantic relationships and mental health are continuously imperilled by the demands of life on the road.</p>,VHS,Media > Videos,,"Floor Sale, Formatted, Issue_Genre_Needed, VHS",false,Genre,Default Title,,,,,,,,,0.0,shopify,deny,manual,8.00,,true,true,,,,,51259642,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/3hYyA2g5r0TDRbkSAOEeKelylh2_c2602ef4-403f-4d4b-8d2c-21a2a59a4a69.jpg?v=1788379713,1,The Rose (1979) poster,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,active
"no usable genre (Option1 Value 'Default Title', tags Floor Sale, Formatted, Issue_Genre_Needed, VHS)",havana-vhs-floor-sale,Havana,"<p>During the revolution, a high-stakes gambler arrives in Cuba seeking to win big in poker games. Along the way, he meets and falls in love with the wife of a Communist revolutionary.</p>",VHS,Media > Videos,,"Floor Sale, Formatted, Issue_Genre_Needed, VHS",false,Genre,Default Title,,,,,,,,,0.0,shopify,deny,manual,8.00,,true,true,,,,,51226874,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/7R7p63t7aQ7I6OHPgJDwD68PRLj.jpg?v=1788379712,1,Havana poster,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,active
"no usable genre (Option1 Value 'Default Title', tags Floor Sale, Formatted, Issue_Genre_Needed, Special Interest, VHS)",michael-jordans-playground-vhs-floor-sale-special-interest,Michael Jordan's Playground,"<p>This made-for-video production mixes highlights of Michael Jordan from the '80s with a fantasy storyline of a high school teen named Walt, who has been cut from his basketball team. Doubting his abilities, Walt gets some lessons from Michael Jordan himself, on the magical Playground known as Michael Jordan's Playground.</p>",VHS,Media > Videos,,"Floor Sale, Formatted, Issue_Genre_Needed, Special Interest, VHS",false,Genre,Default Title,,,,,,,,,0.0,shopify,deny,manual,8.00,,true,true,,,,,06662394,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/1D8CPm7m5ZETY5IHF527yZCJ4D2_1c1893f4-6e9e-4b14-b5e7-b70fee857747.jpg?v=1788379686,1,Michael Jordan's Playground (1990) poster,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,active
"no usable genre (Option1 Value 'Default Title', tags Floor Sale, Formatted, Issue_Genre_Needed, Special Interest, VHS)",easyriders-video-magazine-12-vhs-floor-sale-special-interest,Easyriders Video Magazine #12,,VHS,Media > Videos,,"Floor Sale, Formatted, Issue_Genre_Needed, Special Interest, VHS",false,Genre,Default Title,,,,,,,,,0.0,shopify,deny,manual,21.00,,true,true,,,,,39717370,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,active
"no usable genre (Option1 Value 'Default Title', tags Chicago, Floor Sale, Formatted, Issue_Genre_Needed, VHS)",chicago-vhs-floor-sale-chicago,Chicago,<p>Murderesses Velma Kelly and Roxie Hart find themselves on death row together and fight for the fame that will keep them from the gallows in 1920s Chicago.</p>,VHS,Media > Videos,,"Chicago, Floor Sale, Formatted, Issue_Genre_Needed, VHS",false,Genre,Default Title,,,,,,,,,0.0,shopify,deny,manual,6.00,,true,true,,,,,27577594,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/3ED8cWCXY9zkx77Sd0N5qMbsdDP.jpg?v=1788379545,1,Chicago poster,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,active
"no usable genre (Option1 Value 'Default Title', tags Floor Sale, Formatted, Issue_Genre_Needed, Ivory Hunters, VHS)",ivory-hunters-vhs-floor-sale-ivory-hunters,Ivory Hunters,<p>An author discovers that his missing research assistant's disappearance may be related to illegal trade in ivory tusks. He's then asked by the local inspector to help him find the poachers.</p>,VHS,Media > Videos,,"Floor Sale, Formatted, Issue_Genre_Needed, Ivory Hunters, VHS",false,Genre,Default Title,,,,,,,,,0.0,shopify,deny,manual,5.00,,true,true,,,,,28437498,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/9qAv8kk0B8rfL5sOYPuQLZHFaiy_c7d5808f-3049-494f-aced-c7a5dcb357b9.jpg?v=1788290792,1,Ivory Hunters (1990) poster,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,active
"no usable genre (Option1 Value 'Default Title', tags DVD, Floor Sale, Formatted, Issue_Genre_Needed, Special Interest)",the-short-films-of-david-lynch-dvd-floor-sale-special-interest,The Short Films of David Lynch,<p>A collection of visionary director David Lynch's short films from the first 29 years of his career is accompanied by a special introduction to each film by the director himself.</p>,DVD,Media > Videos,,"DVD, Floor Sale, Formatted, Issue_Genre_Needed, Special Interest",false,Genre,Default Title,,,,,,,,,0.0,shopify,deny,manual,42.00,,true,true,,,,,14654714,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/86WCJiXMvPaXEnN02sFjiAbhdB_f4c029e0-6006-4596-93ee-5cef265c3faa.jpg?v=1788290316,1,The Short Films of David Lynch (2002) poster,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,active
